,Keywords,Search Volume,Competing Products,value_score
0,chicken shredder,11.855219752311516,-0.29693785395049205,18.28461370668971
1,chicken shredder tool twist,1.3699346678261983,-0.30542166315052444,3.412048061527429
2,wedding registry items,0.3442673013694476,-0.286245242355185,1.8833742079774602
3,mini chopper,0.14702105330029064,-0.07219221023129124,1.2362701261499747
4,chicken shredder tool,0.09268975143693005,-0.30045185776115635,1.5619936434108315
5,chicken accessories,0.0734638197389051,1.1828091507202434,0.49178088674619275
6,chicken breast shredder,-0.02798085741176578,-0.3059738637493431,1.4005512066726784
7,processor,-0.02811209244042124,-0.07219221023129124,1.0475099673412516
8,chicken shredder amazon,-0.056524476144328414,-0.3080320659813036,1.3634671167149484
9,mini blender food processor,-0.06505475300693334,-0.2844882404498528,1.3066804766156193
10,chicken grinder,-0.06879495132361396,-0.2729924279835368,1.2808739338072517
11,shredded chicken tool,-0.07981869373067263,-0.300150657434528,1.3148277069121388
12,choper,-0.08296833441840368,-0.308333266307932,1.3258287856155035
13,cluckmaster chicken shredder,-0.08362450956168098,-0.32319248242159815,1.3539676593975856
14,chicken shredder large chicken breast shredder tool,-0.08382136210466418,-0.32319248242159815,1.3536768048519867
15,shredder chicken,-0.08441191973361374,-0.2991968564002048,1.3064839800279884
16,garlic blender,-0.08447753724794148,-0.2729924279835368,1.259302513470006
17,top selling items on amazon,-0.08447753724794148,1.1828091507202434,0.41942396221399897
18,amazon chicken shredder,-0.08493685984823558,-0.3073794652736088,1.3211608583237366
19,small chopper mini,-0.08506809487689104,-0.07219221023129124,0.9861222499017717
20,shredder for chicken,-0.08546179996285742,-0.2971888542226824,1.3012573940125156
21,black and decker chopper,-0.086052357591807,-0.3098894679955119,1.3243496512849182
22,food blender small,-0.08618359262046246,3.6928118726233126,0.19472683588926995
23,chicken mincer shredder,-0.08703662030672295,-0.32319248242159815,1.3489261806072044
24,salsa blender,-0.08769279545000026,-0.12239226466935263,1.0395387002899181
25,shred chicken tool,-0.08788964799298345,-0.2971888542226824,1.2978029126134751
26,small veggie chopper,-0.08880829319357167,-0.17259231910741402,1.1012608751993436
27,toastmaster mini chopper,-0.08913638076521033,-0.3187748776310488,1.3370963420539654
28,black and decker mini chopper,-0.08959570336550443,-0.3135038719150523,1.3261608614955527
29,mini food blender,-0.09012064348012627,-0.12239226466935263,1.0367722615583688
30,mini-food processor,-0.09090805365205903,-0.2878014440427649,1.2764585644603985
31,electric garlic press,-0.0916954638239918,-0.29754025460374883,1.293034287201243
32,food processor small mini,-0.0916954638239918,-0.29021104665579184,1.2796825477439224
33,chicken grinder shredder,-0.09202355139563045,-0.2977912548759391,1.2930292522118265
34,mini electric food processor,-0.0932046666535296,-0.29774105482150104,1.2912549417451462
35,black decker chopper,-0.0936639892538237,-0.3112448694653396,1.3159045509288827
36,radwish chicken shredder,-0.0936639892538237,-0.31194767022747244,1.3172486619525203
37,manual chicken shredder,-0.09392645931113462,-0.3045180621706393,1.302799528506482
38,vegetable chopper small,-0.09425454688277328,-0.07219221023129124,0.9762210051534684
39,mini onion chopper,-0.09425454688277328,-0.286245242355185,1.2689869222111048
40,twist chicken shredder,-0.09464825196873966,-0.30527106298721024,1.303172647340862
41,small food chopper mini,-0.09471386948306738,-0.28237983816345424,1.2615115609351177
42,black and decker mini food processor,-0.09484510451172284,-0.31270067104404337,1.3169733438606064
43,automatic vegetable cutter,-0.0949763395403783,-0.29738965444043464,1.2880875810885655
44,black and decker handy chopper,-0.09504195705470604,-0.3139054723505568,1.318999068606007
45,meat shredded tool,-0.0951731920833615,-0.2885042448048978,1.271724815376477
46,electric mini food processor,-0.09681362994155475,-0.29723905427712044,1.2851971578036432
47,food chopper mini,-0.09740418757050433,-0.27992003549598926,1.2534660828276223
48,mini food grinder,-0.09779789265647071,-0.2729924279835368,1.240980344731676
49,shredding chicken gadget,-0.09825721525676481,-0.3072288651102947,1.3016460116901376
50,black and decker mini chopper electric,-0.09858530282840347,-0.31204807033634857,1.3102873301224838
51,hundop chicken shredder tool twist,-0.09871653785705893,-0.3120982703907866,1.3101921733136892
52,garlic processor,-0.09904462542869757,-0.2729924279835368,1.2392654619433592
53,mini vegetable chopper,-0.09911024294302531,-0.27992003549598926,1.2510968246110072
54,mini processor,-0.09911024294302531,-0.2779120333184668,1.2476177399786244
55,twist & turn meat shredder,-0.09937271300033623,-0.30998986810438806,1.3052377716910322
56,shredding chicken tool,-0.09950394802899169,-0.29447805128302706,1.2763544119479282
57,circle chicken shredder,-0.10114438588718494,-0.3104416685943306,1.3035236805572221
58,handy chopper black and decker,-0.10134123843016814,-0.3153612739292606,1.312602877034711
59,suretivian chicken shredder large chicken breast shredder tool twist,-0.10180056103046224,-0.3121986704996627,1.3058995387840366
60,food chopper black and decker,-0.10180056103046224,-0.30607426385821923,1.2943740117833307
61,kitchen gifts under 50,-0.10180056103046224,-0.17259231910741402,1.0855584975964732
62,easy chicken shredder,-0.1019317960591177,-0.29784145493037717,1.279010574245499
63,small onion chopper,-0.1019317960591177,-0.2227923735454754,1.155506165112791
64,seasoning blender,-0.10206303108777316,0.6808086063396296,0.5342291594208953
65,shredmachine for chicken,-0.10252235368806728,-0.3111946694109015,1.3029481719375895
66,round chicken shredder,-0.10252235368806728,-0.3092870673422552,1.299349706481668
67,kitchen prime deals,-0.10265358871672274,4.69681296138454,0.1575172675258744
68,top products on amazon 2024,-0.10271920623105048,-0.2865966427362514,1.2577468056927303
69,black and decker handy chopper plus,-0.10304729380268912,-0.31671667539908827,1.3127097850971232
70,turkey shredder,-0.10350661640298324,-0.30567266342271476,1.2911682089550403
71,mini choppers for the kitchen,-0.10357223391731096,-0.3038654614629445,1.2877220084016445
72,cooked chicken breast shredder,-0.10383470397462188,-0.2920684486700001,1.2658925772438607
73,gadgets best sellers 2024,-0.10390032148894962,-0.31656607523577407,1.3111723694725732
74,everyday use gifts,-0.10390032148894962,4.69681296138454,0.15729842011405346
75,onion blender,-0.10403155651760508,-0.2873998436072604,1.2573228274575265
76,advanced mini chopper,-0.10416279154626054,-0.31370467213280456,1.30532319262283
77,chicken shredder amaztify,-0.10449087911789919,-0.3107428689209589,1.2992380934531202
78,nice kitchen stuff,-0.1047533491752101,3.190811328242699,0.21362132071934312
79,spinach cutter,-0.10481896668953784,-0.3044678621162013,1.287044817273445
80,mini food chopper electric 1.5 cup,-0.10501581923252103,-0.3138050722416807,1.3042710526748402
81,baked chicken shredder,-0.10527828928983195,-0.31064246881208285,1.2979066307846996
82,mens gadgets 2024,-0.10547514183281514,-0.3108934690842731,1.2980937170606779
83,wedding registry gifts for men,-0.10547514183281514,-0.3054718632049625,1.2879605746356801
84,shred king meat shredder,-0.10567199437579833,-0.3083834663623701,1.2930980711527955
85,kitchen mini chopper,-0.10573761189012607,-0.12239226466935263,1.0189773313392134
86,chicken shredder device,-0.10665625709071429,-0.3104416685943306,1.2955303448922129
87,black decker 1.5 cup electric food chopper,-0.10704996217668067,-0.31415647262274715,1.3019734125625801
88,spice chopper,-0.10711557969100839,-0.2227923735454754,1.1488364111687412
89,surethivan chicken shredder large,-0.10724681471966385,-0.31290147126179557,1.2993088297246076
90,most used kitchen items,-0.10744366726264705,1.1828091507202434,0.4089025980319185
91,garlic blender mini,-0.10757490229130251,-0.303413660973002,1.2811406823671707
92,kitchen gift ideas,-0.10757490229130251,4.69681296138454,0.15665339616342336
93,ginger chopper,-0.1077717548342857,-0.301807259230984,1.2779110882519062
94,rotary chicken shredder,-0.10783737234861343,-0.3092870673422552,1.2916547316096976
95,life hack products,-0.10796860737726889,-0.3105420687032067,1.2938155500581738
96,gifts for people who cook,-0.10823107743457981,-0.306726864565914,1.2863168598146357
97,surethivan chicken shredder,-0.10849354749189073,-0.31320267158842396,1.2980633669178419
98,chicken meat shredder twist,-0.10855916500621846,-0.30381526140850645,1.2804659246011714
99,b0cjn8zwl1,-0.10869040003487392,-0.32314228236716014,1.3168345085615396
100,bomeon chicken shredder,-0.10869040003487392,-0.3113954696286537,1.294370804508745
101,premium chicken shredder,-0.10882163506352938,-0.30592366369490503,1.2839774507810557
102,giant grinder for chicken,-0.10888725257785711,0.028207898644831527,0.8666659229097745
103,meat shredded,-0.10914972263516803,-0.30908626712450293,1.289379896470177
104,chicken shredder 2 pack,-0.10921534014949576,-0.30582326358602896,1.2832245927055763
105,hundop chicken shredder,-0.10934657517815122,-0.3117468700097202,1.2940782773257091
106,gifts for foodies and cooks,-0.10954342772113441,0.07840795308289292,0.8257140256924826
107,chicken shredded tool,-0.10960904523546214,-0.30215865961205046,1.2759217650670347
108,chicken destroyer shredder,-0.10980589777844534,-0.31149586973752985,1.292939378420572
109,best chicken shredder tool,-0.11013398535008398,-0.2979418550392533,1.2675104206641887
110,the chicken shredder,-0.11013398535008398,-0.2972892543315585,1.2663332959330889
111,black and decker 1.5 cup chopper,-0.1103964554073949,-0.31867447752217265,1.3056953177936408
112,chicken shredder twist,-0.11046207292172264,-0.30552206325940057,1.280872839896333
113,avefare chicken shredder tool twist,-0.11085577800768902,-0.31244967077185304,1.2932060159006484
114,cooking idea gifts,-0.11085577800768902,4.69681296138454,0.15607748192178938
115,black and decker chopper mini,-0.11098701303634448,-0.31335327175173816,1.2947167013111098
116,mini veggie chopper,-0.1110526305506722,-0.2882030444782694,1.2488777347997366
117,hand chicken shredder,-0.1110526305506722,-0.3031124606463736,1.2755965909131333
118,chicken shredder tool twist best seller,-0.1110526305506722,-0.30993966804995,1.2882168823372886
119,meat shredders for home use,-0.11131510060798312,-0.2893576457303448,1.250537480706931
120,zaanzeer chicken shredder tool,-0.11177442320827724,-0.311596269846406,1.2902683961249677
121,mini spice chopper,-0.11184004072260496,-0.2729924279835368,1.2216653491158995
122,food prep gifts,-0.11197127575126042,0.1788080619590157,0.7533276645334092
123,shredder for meat,-0.11223374580857134,-0.2729924279835368,1.2211238071827468
124,mens must haves 2024,-0.11229936332289908,-0.30732926521917076,1.281562208569389
125,chicken shredder gadget,-0.11243059835155454,-0.30256026004755493,1.2726108806317296
126,chicken breast shredder tool,-0.11328362603781503,-0.29081344730904857,1.2503288036097284
127,chicken shredded twist,-0.11328362603781503,-0.31370467213280456,1.292033236941652
128,circular chicken shredder,-0.11328362603781503,-0.3104416685943306,1.285919310342618
129,chicken shredder container,-0.11328362603781503,-0.31194767022747244,1.2887339168742242
130,peaho chicken shredder,-0.11328362603781503,-0.31179707006415824,1.288451901890115
131,twist and shred chicken,-0.11328362603781503,-0.31009026821326413,1.2852643369238423
132,chopper 1,-0.11328362603781503,-0.17259231910741402,1.0716801335535322
133,crusher electric,-0.11328362603781503,0.1286080075209543,0.7856725878721197
134,best sellers in home and kitchen,-0.11328362603781503,1.1828091507202434,0.406227165425618
135,rotating meat shredder,-0.11328362603781503,-0.3006526579789086,1.2679198456658218
136,miracle chicken shredder,-0.11328362603781503,-0.31179707006415824,1.288451901890115
137,gifts for around the house,-0.11328362603781503,3.6928118726233126,0.18895203942332864
138,mini food processor 2-cup small electric food chopper,-0.11328362603781503,-0.3072790651647327,1.2800484717168983
139,lightening deals today,-0.11328362603781503,-0.17259231910741402,1.0716801335535322
140,grinder for garlic,-0.11328362603781503,1.1828091507202434,0.406227165425618
141,kalokelvin food chopper,-0.11328362603781503,-0.3155620741470128,1.2955395083595147
142,rival mini chopper,-0.11328362603781503,-0.31581307441920314,1.2960147889547342
143,the ultimate chopper,-0.11328362603781503,-0.30426706189844904,1.274506819213952
144,suretivian chicken shredder tool,,,
