keyword,search_volume,competing_products,value_score
10 inch portable fan,-0.13293012887291517,-0.6152663147542782,0.9986941863811143
12 inch clip on fan,-0.13037246862010124,-0.6293417212497068,1.0152165795190706
12 inch desk fan,-0.11701579841096192,-0.6186431499448855,1.0176718989872562
12 inch fans electric 3 speed,-0.11928927419124095,-0.6168442751237209,1.0136406575079906
12 portable fan,-0.10934281765252017,-0.3193356270689998,0.7919758946397947
6 in fan,-0.1401768329225546,-0.003743553180465759,0.6198461380382687
amazon mini fan,-0.11047955554265969,-0.3193356270689998,0.791111844215122
arctic wind fan,-0.13221966769157797,-0.6294048396644845,1.013443253144344
b001r1rxug,-0.13818754161481042,-0.634896141750145,1.013040514980899
baby safe fan,-0.12255739562539207,-0.6218306298911597,1.0154038157895593
best fans for cooling bedroom,0.09555418704512783,-0.4455724566244134,1.0483110242605775
black amazon,-0.1420240319940313,-0.3193356270689998,0.7671344449304526
brushless fan,-0.0972649775697878,-0.41401324923556,0.8632832941694447
cheap fan,-0.04682223369484672,2.5209930379278065,0.265750446904045
child safe fan,-0.12241530338912462,-0.5718092861798271,0.9677611728486681
climate keeper fan,-0.14159775528522897,-0.6134989991405024,0.988480419896255
corded fan,-0.12468877916940366,-0.003743553180465759,0.6293411136817346
desk fan,12.026612989713234,0.6274405945966023,5.824813335194351
duracraft fan,-0.11090583225146201,-0.6306356487526498,1.0359080237824205
easy home fan,-0.1262517937683455,2.5209930379278065,0.24663806121047124
fam for dorm,-0.1283831773123571,-0.6306987671674275,1.018569387538528
fan 660,-0.11005327883385738,-0.6318980170482039,1.0380617495380913
fan bathroom,-0.11062164777892713,0.3118485207080683,0.5345444268279327
fan bedside,-0.12355204127926414,-0.5402500787909736,0.9388225037779938
fan deals,-0.13349849781798492,-0.6147298082286676,0.9976118719585674
fan for white noise,-0.12028391984511304,-0.3193356270689998,0.7836594093023193
fan noise,0.06344134164868646,1.2586247423736705,0.41979587126531415
fan office,-0.1255413325870083,2.5209930379278065,0.2468090127819701
fans',-0.1119004779053341,2.5209930379278065,0.2500912829547484
fan same day delivery,-0.10877444870745041,-0.6033684935686804,1.0105920931894627
fans for bathroom,-0.12895154625742686,0.3118485207080683,0.5251289129776467
fans for office,-0.1172999828834968,2.5209930379278065,0.24879205101135698
fan small,0.034454525450128774,2.5209930379278065,0.28530730668351584
fans that blow cold air portable,-0.0951335940257762,-0.5402500787909736,0.9647830666670413
fan under 20,-0.13648243477960115,-0.5402500787909736,0.9270104476634772
fan white noise,-0.1001068222951366,0.9430326684851363,0.40774606837091426
fan with long cord,-0.12539924035074085,-0.3193356270689998,0.7797711823912918
fan xing,-0.11829462853736887,-0.626943221488154,1.0247830396732067
grow room fan,-0.1151685993394852,-0.6157081436577221,1.016553715626117
high performance fan,-0.11005327883385738,-0.6263435965477657,1.0323449913251217
honeywell 11 fan,-0.13832963385107788,-0.6349277009575338,1.012930393500337
household fan,-0.13179339098277565,-0.003743553180465759,0.6249856202673008
intertek fan,-0.10280657478421795,-0.623061438979325,1.0361581287604744
kid safe fan,-0.13818754161481042,-0.6033684935686804,0.9820788554647837
little fan,0.1570801253489292,2.5209930379278065,0.314813547924221
night stand fan,-0.028492335216347,-0.6033684935686804,1.0884180802157613
on fan electric,-0.11431604592188056,1.8898088901507386,0.2941904890270087
outlet fan plug in,-0.1226994878616595,-0.6203157879364947,1.0137477456056905
polar wind fan,-0.12653597824088036,-0.6292786028349291,1.0189678000244218
portable fan electric,-0.12227321115285719,-0.3193356270689998,0.7821473210591421
portable fan plug in,-0.1323617599278454,-0.6033684935686804,0.9877264049658072
room circulation fan,-0.11701579841096192,-0.41401324923556,0.8471062222924449
rv fan,0.1623375380908245,-0.3193356270689998,0.9984839461365866
small fan desk,-0.11119001672399689,0.6274405945966023,0.4597262137518892
small fan electric white noise,-0.13193548321904308,-0.3193356270689998,0.7748028924494234
small fan for desk,0.3410895713152636,0.6274405945966023,0.659640431489139
small fan with plug,-0.12369413351553159,-0.003743553180465759,0.6299508827597554
small loud fan for sleeping,-0.12880945402115943,-0.5718092861798271,0.9617466494022167
small personal fans,-0.1226994878616595,0.6274405945966023,0.45463885854085645
spot fan,-0.1512600273514149,-0.6033684935686804,0.9694063053649262
strong cooling fan,-0.12866736178489196,-0.6161499725611661,1.003744621681277
table fan climate keeper,-0.12184693444405487,-0.631235273693038,1.025626043341748
torpedo fan,-0.12951991520249662,-0.6310774776560937,1.017821272967039
vornado 660,0.022234593131128962,-0.6315508657669265,1.1695452588952984
vornado 660 fan,-0.12156274997151999,-0.6317086618038708,1.0263932772334239
vornado 660 large air circulator,-0.11573696828455496,-0.6314246289373712,1.031908210288024
vornado 660 large air circulator fan,-0.1133214002680085,-0.6313615105225934,1.0342502935791102
vornado 660 large whole room air circulator fan,-0.12340994904299671,-0.6311721552782603,1.024004383072015
vornado 733,-0.1469972602633917,-0.6329710300994249,1.002301592770413
vornado fan 660,-0.138045449378543,-0.6316455433890931,1.0098999272831717
vornado fan vornado 660 large air circulator,-0.14287658541163595,-0.6318980170482039,1.0053375868295171
vornado large,-0.12184693444405487,-0.6259964452664883,1.020300528009994
vornado large fan,-0.13875591055988018,-0.6252390242891559,1.0027884239847542
white noise fan,0.09654883269899991,0.6274405945966023,0.5515498349683075
table & desk fan,-0.11801044406483399,-0.3193356270689998,0.7853875101516649
table fan,1.6727780096137082,0.3118485207080683,1.4506228325251285
table fan quiet,-0.11943136642750839,-0.5086908714021202,0.9161737867613731
table fan small,-0.1455763379007173,-0.003743553180465759,0.6165359630432989
table top fan,0.1773993151351731,-0.41401324923556,1.0882493368905997
tabletop fan,0.406167815525751,-0.3824540418467066,1.2434815147991503
table top fan for desk,-0.1330722211091826,-0.6033684935686804,0.9870376794169018
tabletop fan for bedroom,-0.08774479773986935,-0.6033684935686804,1.0309783694370596
amazon small fan,-0.1434449543567057,2.5209930379278065,0.24250103318019856
bedroom desk fan,-0.11573696828455496,-0.3824540418467066,0.8267823051879687
bedroom table fan,-0.13904009503241507,-0.41401324923556,0.8290670414224092
bedside fan,0.4828976231101684,-0.5402500787909736,1.492820915830267
bedside fan for sleeping,-0.09541777849831108,-0.6060194669893442,1.0261772760638117
bedside table fan,-0.09257593377296229,-0.5718092861798271,0.995828948932108
black desk fan,-0.10138565242154356,-0.3824540418467066,0.8382406825826678
black small fan,-0.1512600273514149,2.5209930379278065,0.24062056589371095
counter fan,-0.08817107444867167,-0.6033684935686804,1.0305651341077164
counter fan for kitchen,-0.12014182760884559,-0.6144457753621679,1.0104227952307907
counter top fan,-0.12056810431764792,-0.6125837821262257,1.008165553732644
countertop fan,-0.09541777849831108,-0.6165286830498323,1.0367667586937872
desk electric fans,-0.10550632727329931,-0.4455724566244134,0.8792610156307646
desk fan electric,-0.14429750777431033,-0.4455724566244134,0.8466457136124332
desk fan for bedroom,-0.11673161393842704,-0.3824540418467066,0.8259881602200193
desk fan for dorm,-0.11701579841096192,-0.6033684935686804,1.0026028768221615
desk room fans,-0.11317930803174105,-0.3193356270689998,0.7890597244565243
desk shop fans,-0.09683870086098549,-0.6033684935686804,1.0221626824110719
desk & table fan,-0.11829462853736887,-0.3193356270689998,0.7851714975454966
desk & table small fan,-0.13165129874650822,-0.3193356270689998,0.7750189050555917
desk top fan,0.08688656063281401,-0.3193356270689998,0.9411325991989316
dorm desk fan,-0.1359140658345314,-0.6033684935686804,0.9842827772212804
dorm room essentials fan,-0.1248308714056711,-0.6157397028651109,1.0071048303815133
electric desk fan,-0.11317930803174105,-0.4455724566244134,0.8728096372095563
electric table fan,-0.14358704659297314,-0.47713166401326684,0.8703372170956465
fan for bedroom small,-0.13349849781798492,-0.3193356270689998,0.7736148231154983
fan for nightstand,-0.08916572010254374,-0.6033684935686804,1.029600918339249
fan for small bedroom,-0.13037246862010124,-0.3193356270689998,0.7759909617833486
fan for table,-0.10962700212505505,0.3118485207080683,0.5350553461841498
fan overnight delivery,-0.12227321115285719,-0.6277953200876529,1.0216996650527717
fan plug in,-0.11772625959229911,-0.3824540418467066,0.82519401525207
fans for small rooms,-0.12184693444405487,2.5209930379278065,0.2476979609537642
fan small room,-0.11943136642750839,2.5209930379278065,0.24827919629686038
fan table,-0.09271802600922974,0.3118485207080683,0.5437409752398399
fan tabletop,-0.11445813815814801,-0.3824540418467066,0.8278033487181895
kitchen counter fan,-0.11232675461413641,-0.6117632427341154,1.0154118083237962
little fans for bedroom,-0.12653597824088036,1.5742168162622046,0.31931377462499266
mini fan for bedroom,-0.12355204127926414,-0.5086908714021202,0.9125149871700097
mini fan for room,-0.1001068222951366,-0.6137514727996132,1.0293553414893262
mini room fan,-0.1097690943613225,-0.3508948344578532,0.8111092481839921
nightstand fan for bedroom,-0.06444167099200925,-0.6033684935686804,1.0535685674411532
side table fan,-0.11261093908667129,-0.6033684935686804,1.0068729752253742
side table fan for bedroom,-0.13818754161481042,-0.6101852823646727,0.9886118378194187
small bedroom fan,-0.036875777156125944,-0.3193356270689998,0.8470591092126838
small bedroom fan quiet,-0.1391821872686825,-0.41401324923556,0.8289506596103445
small bedside fan for sleeping,-0.11076374001519457,-0.6121735124301705,1.0173473734039684
small bedside fans,-0.1137476769768108,-0.6033684935686804,1.0057710143471257
small black fan,-0.09783334651485756,2.5209930379278065,0.2534761240704261
small circulating fan,-0.13165129874650822,-0.5402500787909736,0.9314237433546153
small counter fan,-0.12369413351553159,-0.6033684935686804,0.9961288566624518
small electric fans for bedroom,-0.1373349881972058,-0.47713166401326684,0.8757371823712821
small fan bedroom,-0.11317930803174105,-0.3193356270689998,0.7890597244565243
small fan dorm,-0.10849026423491553,-0.003743553180465759,0.6392716386666439
small fan for bedroom,0.02266086983993128,-0.3193356270689998,0.8923137502049201
small fan for dorm,-0.09712288533352037,-0.003743553180465759,0.646240428129738
small fan for dorm room,-0.11801044406483399,-0.003743553180465759,0.6334352774913025
small fan for kitchen,-0.11744207511976423,2.5209930379278065,0.24875786069705721
small fan for room,-0.11218466237786898,-0.6147929266434453,1.018566753272569
small fans amazon,-0.11474232263068289,2.5209930379278065,0.2494074766687529
small fans portable plug in electric,-0.12568342482327574,-0.6033684935686804,0.9942004251255169
small house fan,-0.1469972602633917,1.5742168162622046,0.312937844244569
small indoor fan,-0.1373349881972058,1.2586247423736705,0.35040838519827455
small kitchen fan,-0.09754916204232268,2.5209930379278065,0.2535445046990256
small loud fan,-0.11843672077363632,-0.3193356270689998,0.7850634912424126
small quiet fan for bedroom,-0.11133210896026433,-0.3193356270689998,0.7904638063966174
small room fan,0.0334598797962567,2.5209930379278065,0.2850679744834174
small round fan,-0.12610970153207807,1.5742168162622046,0.3194466065079182
small table fan for bedroom,-0.12852526954862453,0.3118485207080683,0.5253478784160255
small table fans,-0.11801044406483399,0.3118485207080683,0.5307490258960345
